coc_code,coc_name,state_postal,county_fips,total_homeless,sheltered_homeless,unsheltered_homeless,veteran_homeless,population,jan_temp_f,median_1br_fmr,hud_grants_millions,state_fips,lat,lon,city_name,homeless_rate_per_10k,unsheltered_pct,unsheltered_rate_per_10k,spending_per_homeless,veteran_rate_per_10k,ami_pct,drug_disorder_pct,overdose_rate_per_100k
MA-516,Massachusetts Balance of State CoC,MA,25027,10234,9834,400,712,6354728,26,1650,47.3,25,42.0,-71.5,MA Balance,16.1,3.9,0.63,4622.0,1.12,27.1,3.4,31.9
MA-502,Lynn CoC,MA,25009,712,634,78,62,94299,26,1450,3.1,25,42.47,-70.95,Lynn,75.5,11.0,8.27,4354.0,6.57,27.1,3.4,31.9
AZ-502,Phoenix/Mesa/Maricopa County CoC,AZ,04013,9129,4234,4895,912,4484785,54,1234,40.2,04,33.45,-112.07,Phoenix,20.36,53.6,10.91,4404.0,2.03,22.1,3.2,26.9
AZ-500,Arizona Balance of State CoC,AZ,04003,1834,934,900,178,2875215,52,1050,7.4,04,34.0,-112.0,AZ Balance,6.38,49.1,3.13,4035.0,0.62,22.1,3.2,26.9
AZ-501,Tucson/Pima County CoC,AZ,04019,2134,1134,1000,212,1041073,52,1050,8.8,04,32.22,-110.97,Tucson,20.5,46.9,9.61,4124.0,2.04,22.1,3.2,26.9
IL-510,Chicago CoC,IL,17031,6139,5634,505,534,5150233,25,1380,29.8,17,41.88,-87.63,Chicago,11.92,8.2,0.98,4854.0,1.04,22.3,3.1,22.7
IL-500,Illinois Balance of State CoC,IL,17043,2934,2634,300,212,7429767,22,890,10.4,17,40.5,-89.0,IL Balance,3.95,10.2,0.4,3545.0,0.29,22.3,3.1,22.7
IL-514,DuPage County CoC,IL,17043,512,434,78,42,930826,24,1180,2.1,17,41.85,-88.02,DuPage,5.5,15.2,0.84,4102.0,0.45,22.3,3.1,22.7
MN-500,Minneapolis/Hennepin County CoC,MN,27053,4892,4534,358,412,1281565,13,1168,23.4,27,44.98,-93.27,Minneapolis,38.17,7.3,2.79,4783.0,3.21,23.4,2.9,18.3
MN-501,Saint Paul/Ramsey County CoC,MN,27123,1834,1734,100,152,547888,11,1050,8.1,27,44.95,-93.09,St. Paul,33.47,5.5,1.83,4417.0,2.77,23.4,2.9,18.3
MN-502,Rochester/Southeast Minnesota CoC,MN,27109,734,634,100,72,222875,14,890,2.9,27,44.02,-92.46,Rochester,32.93,13.6,4.49,3951.0,3.23,23.4,2.9,18.3
PA-500,Philadelphia CoC,PA,42101,4978,4134,844,412,1576251,31,1150,23.4,42,39.95,-75.17,Philadelphia,31.58,17.0,5.35,4701.0,2.61,23.4,3.1,41.2
PA-501,Pittsburgh/Allegheny County CoC,PA,42003,1378,1134,244,122,1218451,26,1080,5.8,42,40.44,-80.0,Pittsburgh,11.31,17.7,2.0,4209.0,1.0,23.4,3.1,41.2
PA-502,Pennsylvania Balance of State CoC,PA,42097,3234,2734,500,278,10161298,25,1000,12.8,42,40.5,-77.0,PA Balance,3.18,15.5,0.49,3958.0,0.27,23.4,3.1,41.2
GA-500,Atlanta CoC,GA,13121,3689,2634,1055,312,510823,45,1280,16.2,13,33.75,-84.39,Atlanta,72.22,28.6,20.65,4391.0,6.11,20.5,2.8,18.6
GA-501,Georgia Balance of State CoC,GA,13067,2912,2034,878,256,9519177,43,980,10.1,13,32.5,-83.0,GA Balance,3.06,30.2,0.92,3468.0,0.27,20.5,2.8,18.6
NV-500,Las Vegas/Clark County CoC,NV,32003,6263,3034,3229,612,2266715,43,1250,26.1,32,36.17,-115.14,Las Vegas,27.63,51.6,14.25,4167.0,2.7,22.3,3.4,29.9
NV-501,Reno/Sparks/Washoe County CoC,NV,32031,1034,634,400,92,471519,33,1050,4.3,32,39.53,-119.81,Reno,21.93,38.7,8.48,4159.0,1.95,22.3,3.4,29.9
MI-501,Detroit CoC,MI,26163,2634,2434,200,212,1739763,24,990,12.4,26,42.33,-83.05,Detroit,15.14,7.6,1.15,4708.0,1.22,24.4,3.5,31.5
MI-502,Dearborn/Dearborn Heights/Westland/Wayne County CoC,MI,26163,634,534,100,62,1739763,22,980,2.8,26,42.31,-83.18,Dearborn,3.64,15.8,0.57,4416.0,0.36,24.4,3.5,31.5
MI-523,Flint/Genesee County CoC,MI,26049,812,734,78,72,406892,23,820,3.2,26,43.01,-83.69,Flint,19.96,9.6,1.92,3941.0,1.77,24.4,3.5,31.5
OH-500,Cincinnati/Hamilton County CoC,OH,39061,1234,1134,100,112,830639,27,950,5.8,39,39.1,-84.51,Cincinnati,14.86,8.1,1.2,4700.0,1.35,24.2,3.4,44.8
OH-501,Toledo/Lucas County CoC,OH,39095,812,734,78,72,430749,25,870,3.4,39,41.66,-83.56,Toledo,18.85,9.6,1.81,4187.0,1.67,24.2,3.4,44.8
OH-503,Columbus/Franklin County CoC,OH,39049,2134,1934,200,192,1323807,27,980,9.8,39,39.96,-82.99,Columbus,16.12,9.4,1.51,4592.0,1.45,24.2,3.4,44.8
OH-504,Youngstown/Mahoning County CoC,OH,39099,634,534,100,52,229524,25,820,2.4,39,41.1,-80.65,Youngstown,27.62,15.8,4.36,3785.0,2.27,24.2,3.4,44.8
OH-507,Cleveland/Cuyahoga County CoC,OH,39035,2034,1834,200,172,1264817,26,950,8.9,39,41.5,-81.69,Cleveland,16.08,9.8,1.58,4376.0,1.36,24.2,3.4,44.8
MD-501,Baltimore CoC,MD,24510,2412,1934,478,212,585708,35,1200,11.4,24,39.29,-76.61,Baltimore,41.18,19.8,8.16,4726.0,3.62,22.8,2.9,36.7
MD-500,Maryland Balance of State CoC,MD,24003,2312,1834,478,192,5575000,32,1500,9.8,24,39.0,-76.8,MD Balance,4.15,20.7,0.86,4239.0,0.34,22.8,2.9,36.7
VA-501,Roanoke City & County/Salem CoC,VA,51770,634,534,100,62,313226,36,1050,2.8,51,37.27,-79.94,Roanoke,20.24,15.8,3.19,4416.0,1.98,22.0,2.8,19.1
VA-505,Newport News/Hampton/Virginia Beach CoC,VA,51650,812,712,100,82,894090,42,1300,3.4,51,37.1,-76.4,Hampton Roads,9.08,12.3,1.12,4187.0,0.92,22.0,2.8,19.1
VA-600,Arlington County CoC,VA,51013,412,378,34,34,238643,34,2050,1.8,51,38.88,-77.11,Arlington,17.26,8.3,1.42,4369.0,1.42,22.0,2.8,19.1
VA-521,Virginia Balance of State CoC,VA,51041,2634,2134,500,212,7531000,34,1250,10.4,51,38.0,-78.5,VA Balance,3.5,19.0,0.66,3948.0,0.28,22.0,2.8,19.1
NC-507,Raleigh/Wake County CoC,NC,37183,1034,834,200,92,1129410,41,1150,4.8,37,35.78,-78.64,Raleigh,9.16,19.3,1.77,4642.0,0.81,22.0,3.0,22.8
NC-505,Charlotte/Mecklenburg County CoC,NC,37119,1734,1434,300,152,1115482,42,1200,7.8,37,35.23,-80.84,Charlotte,15.54,17.3,2.69,4498.0,1.36,22.0,3.0,22.8
NC-501,Durham County CoC,NC,37063,734,634,100,72,330506,39,1150,3.2,37,35.99,-78.9,Durham,22.21,13.6,3.03,4360.0,2.18,22.0,3.0,22.8
NC-502,North Carolina Balance of State CoC,NC,37067,2734,2034,700,212,8224000,38,950,10.4,37,35.5,-79.5,NC Balance,3.32,25.6,0.85,3804.0,0.26,22.0,3.0,22.8
HI-500,Hawaii Balance of State CoC,HI,15001,2178,1034,1144,212,200000,74,2000,9.8,15,20.89,-156.47,HI Balance,108.9,52.5,57.2,4500.0,10.6,22.7,3.0,11.1
HI-501,Honolulu CoC,HI,15003,4212,2234,1978,412,974563,75,2200,16.2,15,21.31,-157.86,Honolulu,43.22,47.0,20.3,3846.0,4.23,22.7,3.0,11.1
IN-503,Indianapolis CoC,IN,18097,1834,1634,200,162,964582,27,1000,7.8,18,39.77,-86.16,Indianapolis,19.01,10.9,2.07,4253.0,1.68,22.7,3.2,36.5
IN-502,Indiana Balance of State CoC,IN,18089,2034,1734,300,178,5865418,22,790,8.2,18,40.0,-86.5,IN Balance,3.47,14.7,0.51,4031.0,0.3,22.7,3.2,36.5
TN-500,Nashville/Davidson County CoC,TN,47037,2812,2034,778,234,715884,40,1150,12.4,47,36.17,-86.78,Nashville,39.28,27.7,10.87,4410.0,3.27,23.5,3.2,31.9
TN-501,Memphis/Shelby County CoC,TN,47157,1834,1234,600,152,929744,41,1050,7.8,47,35.15,-90.05,Memphis,19.73,32.7,6.45,4253.0,1.63,23.5,3.2,31.9
TN-502,Tennessee Balance of State CoC,TN,47093,1834,1234,600,152,5484372,36,900,7.4,47,36.0,-86.0,TN Balance,3.34,32.7,1.09,4035.0,0.28,23.5,3.2,31.9
MO-501,St. Louis City CoC,MO,29510,1234,1034,200,112,301578,30,950,5.4,29,38.63,-90.2,St. Louis City,40.92,16.2,6.63,4376.0,3.71,23.6,3.3,34.8
MO-500,St. Louis County CoC,MO,29189,812,712,100,72,1004125,29,980,3.4,29,38.75,-90.4,St. Louis Co,8.09,12.3,1.0,4187.0,0.72,23.6,3.3,34.8
MO-503,Kansas City CoC,MO,29095,1234,1034,200,112,508090,29,1000,5.2,29,39.1,-94.58,Kansas City,24.29,16.2,3.94,4214.0,2.2,23.6,3.3,34.8
LA-500,Lafayette/Acadiana CoC,LA,22055,634,434,200,52,240091,54,850,2.4,22,30.22,-92.02,Lafayette,26.41,31.5,8.33,3785.0,2.17,21.2,3.1,29.4
LA-503,New Orleans/Jefferson Parish CoC,LA,22071,1812,1234,578,152,455901,54,1000,7.8,22,29.95,-90.07,New Orleans,39.75,31.9,12.68,4305.0,3.33,21.2,3.1,29.4
LA-505,Monroe/Northeast Louisiana CoC,LA,22073,534,334,200,42,200000,48,820,2.1,22,32.51,-92.11,Monroe,26.7,37.5,10.0,3933.0,2.1,21.2,3.1,29.4
WI-500,Wisconsin Balance of State CoC,WI,55025,2034,1834,200,172,4614573,17,833,7.8,55,44.5,-90.0,WI Balance,4.41,9.8,0.43,3835.0,0.37,22.8,2.9,22.6
WI-502,Racine City & County CoC,WI,55101,534,434,100,42,197314,19,850,2.1,55,42.73,-87.78,Racine,27.06,18.7,5.07,3933.0,2.13,22.8,2.9,22.6
NM-500,Albuquerque CoC,NM,35001,1834,1034,800,172,677692,40,980,7.4,35,35.08,-106.65,Albuquerque,27.06,43.6,11.8,4035.0,2.54,25.0,3.8,34.9
NM-501,New Mexico Balance of State CoC,NM,35049,834,634,200,82,1346308,35,850,3.4,35,34.5,-106.0,NM Balance,6.19,24.0,1.49,4077.0,0.61,25.0,3.8,34.9
OK-501,Oklahoma City CoC,OK,40109,1234,834,400,112,795399,38,900,5.1,40,35.47,-97.52,Oklahoma City,15.51,32.4,5.03,4133.0,1.41,23.5,3.2,23.7
OK-502,Tulsa City & County CoC,OK,40143,834,634,200,72,648901,36,870,3.4,40,36.15,-95.99,Tulsa,12.85,24.0,3.08,4077.0,1.11,23.5,3.2,23.7
KY-500,Louisville/Jefferson County CoC,KY,21111,1234,1034,200,112,774159,32,900,5.2,21,38.25,-85.76,Louisville,15.94,16.2,2.58,4214.0,1.45,24.1,3.5,45.5
KY-501,Kentucky Balance of State CoC,KY,21067,2034,1734,300,172,3735841,28,750,8.1,21,37.5,-85.0,KY Balance,5.44,14.7,0.8,3982.0,0.46,24.1,3.5,45.5
SC-500,Columbia/Midlands CoC,SC,45079,812,634,178,72,416147,45,900,3.4,45,34.0,-81.03,Columbia,19.51,21.9,4.28,4187.0,1.73,21.9,2.9,22.8
SC-501,Greenville/Anderson/Spartanburg CoC,SC,45045,1034,834,200,92,940000,46,900,4.1,45,34.85,-82.4,Greenville,11.0,19.3,2.13,3965.0,0.98,21.9,2.9,22.8
ME-500,Maine Balance of State CoC,ME,23005,2034,1734,300,172,1218000,16,1000,8.4,23,44.5,-69.0,ME Balance,16.7,14.7,2.46,4130.0,1.41,29.5,3.8,30.1
ME-502,Bangor/Penobscot County CoC,ME,23019,934,834,100,82,154065,14,910,3.8,23,44.8,-68.78,Bangor,60.62,10.7,6.49,4069.0,5.32,29.5,3.8,30.1
